pair_key,node_idx,tender_id,country,attention,is_cartel_pair,tender_label,pred_prob
usa_43_64,1874,1239,usa,0.20768851,1,1,0.9998646
usa_22_64,1874,1239,usa,0.31150162,1,1,0.9998646
usa_8_97,1875,1241,usa,0.32681242,0,0,7.609943e-05
usa_8_104,1875,1241,usa,0.3545089,0,0,7.609943e-05
usa_97_104,1875,1241,usa,0.31867874,0,0,7.609943e-05
usa_3_6,1876,1242,usa,0.194313,0,0,6.480549e-05
usa_3_73,1876,1242,usa,0.24275115,1,0,6.480549e-05
usa_6_73,1876,1242,usa,0.5629358,0,0,6.480549e-05
usa_104_106,1877,1243,usa,1.0,0,0,1.730149e-05
usa_73_104,1878,1244,usa,1.0,1,0,0.0011805344
usa_94_103,1879,1245,usa,1.0,0,0,5.0984306e-07
usa_46_73,1880,1247,usa,1.0,0,0,0.00043782787
usa_46_73,1881,1248,usa,1.0,0,0,0.0004525675
usa_26_104,1882,1253,usa,1.0,0,0,6.8755464e-05
usa_14_26,1883,1254,usa,0.19391966,0,0,1.5407353e-07
usa_26_47,1883,1254,usa,0.5870036,0,0,1.5407353e-07
usa_14_47,1883,1254,usa,0.21907678,0,0,1.5407353e-07
usa_15_112,1884,1256,usa,1.0,0,0,4.7908984e-06
usa_15_112,1885,1261,usa,0.1189908,0,0,9.4755606e-08
usa_61_112,1885,1261,usa,0.19722307,0,0,9.4755606e-08
usa_110_112,1885,1261,usa,0.1521706,0,0,9.4755606e-08
usa_15_61,1885,1261,usa,0.15389878,0,0,9.4755606e-08
usa_15_110,1885,1261,usa,0.18183601,0,0,9.4755606e-08
